movie_id,genre_id
967941,14
967941,12
967941,10749
2062,16
2062,35
2062,10751
2062,14
744,28
744,18
744,10749
1100988,27
1100988,53
1100988,878
99861,28
99861,12
99861,878
99861,28
99861,12
99861,878
4232,80
4232,27
4232,9648
39254,28
39254,878
39254,18
290098,53
290098,18
290098,10749
1248226,28
1248226,35
1248226,10751
823219,16
823219,12
823219,14
823219,10751
539972,28
539972,12
539972,53
695721,878
695721,28
9502,16
9502,10751
9502,18
9502,35
9502,28
16859,16
16859,10751
16859,14
949,80
949,18
949,28
812,16
812,10751
812,12
812,14
812,10749
453395,14
453395,28
453395,12
1097549,10749
1097549,53
346,28
346,18
16869,18
16869,53
16869,10752
1019420,10749
1019420,35
1019420,14
823464,28
823464,12
823464,878
1091,27
1091,9648
1091,878
646385,27
646385,9648
786892,28
786892,878
786892,12
62177,16
62177,10751
62177,14
62177,12
62,878
62,9648
62,12
20352,10751
20352,35
20352,16
20352,878
20352,80
73861,80
73861,27
73861,53
1245347,35
1245347,18
49051,12
49051,14
49051,28
696506,878
696506,35
696506,12
1327862,10749
1327862,18
986056,28
986056,878
986056,12
337167,18
337167,10749
4247,35
646385,27
646385,9648
934433,27
934433,53
934433,80
1011477,28
1011477,12
1011477,18
1097549,10749
1097549,53
2105,35
2105,10749
539972,28
539972,12
539972,53
823464,28
823464,12
823464,878
1180831,28
1180831,14
1180831,53
425,16
425,35
425,10751
425,12
1198984,27
1198984,53
49051,12
49051,14
49051,28
198663,28
198663,9648
198663,878
198663,53
466272,35
466272,18
466272,53
20352,10751
20352,35
20352,16
20352,878
20352,80
447365,878
447365,12
447365,28
24,28
24,80
545611,28
545611,12
545611,878
10379,35
10379,14
10379,10751
578,27
578,53
578,12
209112,28
209112,12
209112,14
28,18
28,10752
103,80
103,18
4348,18
4348,10749
43347,18
43347,35
43347,10749
510,18
105864,12
105864,16
105864,10751
283995,878
283995,12
283995,28
8392,14
8392,16
8392,10751
4247,35
926393,28
926393,53
926393,80
297762,28
297762,12
297762,14
138843,27
138843,53
47971,28
47971,12
47971,80
